DaystoDepart,RoundTrip,SeatClass,Time,Price
12,TRUE,Economy,Afternoon,337
12,TRUE,Economy,Evening,337
12,FALSE,Business,Morning,473
12,FALSE,Business,Afternoon,473
12,FALSE,Business,Evening,473
12,TRUE,Business,Morning,745
12,TRUE,Business,Afternoon,745
12,TRUE,Business,Evening,745
12,FALSE,FirstClass,Morning,473
12,FALSE,FirstClass,Afternoon,473
12,FALSE,FirstClass,Evening,473
12,TRUE,FirstClass,Morning,745
12,TRUE,FirstClass,Afternoon,745
12,TRUE,FirstClass,Evening,745
13,FALSE,Economy,Morning,209
13,FALSE,Economy,Afternoon,204
13,FALSE,Economy,Evening,215
13,TRUE,Economy,Morning,237
13,TRUE,Economy,Afternoon,237
13,TRUE,Economy,Evening,237
13,FALSE,Business,Morning,383
13,FALSE,Business,Afternoon,383
13,FALSE,Business,Evening,383
13,TRUE,Business,Morning,615
13,TRUE,Business,Afternoon,615
13,TRUE,Business,Evening,615
13,FALSE,FirstClass,Morning,383
13,FALSE,FirstClass,Afternoon,383
13,FALSE,FirstClass,Evening,383
13,TRUE,FirstClass,Morning,615
13,TRUE,FirstClass,Afternoon,615
13,TRUE,FirstClass,Evening,615
14,FALSE,Economy,Morning,215
14,FALSE,Economy,Afternoon,229
14,FALSE,Economy,Evening,215
14,TRUE,Economy,Morning,237
14,TRUE,Economy,Afternoon,237
14,TRUE,Economy,Evening,237
14,FALSE,Business,Morning,403
14,FALSE,Business,Afternoon,403
14,FALSE,Business,Evening,403
14,TRUE,Business,Morning,635
14,TRUE,Business,Afternoon,635
14,TRUE,Business,Evening,635
14,FALSE,FirstClass,Morning,403
14,FALSE,FirstClass,Afternoon,403
14,FALSE,FirstClass,Evening,403
14,TRUE,FirstClass,Morning,635
14,TRUE,FirstClass,Afternoon,635
14,TRUE,FirstClass,Evening,635
15,FALSE,Economy,Morning,215
15,FALSE,Economy,Afternoon,235
15,FALSE,Economy,Evening,235
15,TRUE,Economy,Morning,237
15,TRUE,Economy,Afternoon,237
15,TRUE,Economy,Evening,237
15,FALSE,Business,Morning,403
