DaystoDepart,RoundTrip,SeatClass,Time,Price
15,0,1,0,0.27092511
15,0,1,1,0.27092511
15,0,1,2,0.27092511
15,1,1,0,0.504405286
15,1,1,1,0.504405286
15,1,1,2,0.504405286
15,0,2,0,0.27092511
15,0,2,1,0.27092511
15,0,2,2,0.27092511
15,1,2,0,0.504405286
15,1,2,1,0.504405286
15,1,2,2,0.504405286
16,0,0,0,0.09030837
16,0,0,1,0.09030837
16,0,0,2,0.09030837
16,1,0,0,0.057268722
16,1,0,1,0.057268722
16,1,0,2,0.057268722
16,0,1,0,0.27092511
16,0,1,1,0.27092511
16,0,1,2,0.27092511
16,1,1,0,0.484581498
16,1,1,1,0.484581498
16,1,1,2,0.484581498
16,0,2,0,0.27092511
16,0,2,1,0.27092511
16,0,2,2,0.27092511
16,1,2,0,0.484581498
16,1,2,1,0.484581498
16,1,2,2,0.484581498
17,0,0,0,0.09030837
17,0,0,1,0.09030837
17,0,0,2,0.09030837
17,1,0,0,0.202643172
17,1,0,1,0.202643172
17,1,0,2,0.202643172
17,0,1,0,0.27092511
17,0,1,1,0.27092511
17,0,1,2,0.27092511
17,1,1,0,0.672907489
17,1,1,1,0.672907489
17,1,1,2,0.672907489
17,0,2,0,0.27092511
17,0,2,1,0.27092511
17,0,2,2,0.27092511
17,1,2,0,0.672907489
17,1,2,1,0.672907489
17,1,2,2,0.672907489
18,0,0,0,0.09030837
18,0,0,1,0.09030837
18,0,0,2,0.058370044
18,1,0,0,0.198237885
18,1,0,1,0.198237885
18,1,0,2,0.198237885
18,0,1,0,0.27092511
18,0,1,1,0.27092511
18,0,1,2,0.27092511
18,1,1,0,0.657488987
18,1,1,1,0.68061674
18,1,1,2,0.657488987
18,0,2,0,0.27092511
18,0,2,1,0.27092511
18,0,2,2,0.27092511
18,1,2,0,0.657488987
18,1,2,1,0.68061674
18,1,2,2,0.657488987
19,0,0,0,0.051762115
19,0,0,1,0.033039648
19,0,0,2,0.011013216
19,1,0,0,0.13215859
19,1,0,1,0.149779736
19,1,0,2,0.149779736
19,0,1,0,0.248898678
19,0,1,1,0.248898678
19,0,1,2,0.248898678
19,1,1,0,0.575991189
19,1,1,1,0.575991189
19,1,1,2,0.575991189
19,0,2,0,0.248898678
19,0,2,1,0.248898678
