Days_to_Departure,One-way Morning Economy,One-way Afternoon Economy,One-way Evening Economy,Roundtrip Morning Economy,Roundtrip Afternoon Economy,Roundtrip Evening Economy,One-way Morning Business,One-way Afternoon Business,One-way Evening Business,Roundtrip Morning Business,Roundtrip Afternoon Business,Roundtrip Evening Business,One-way Morning First Class,One-way Afternoon First Class,One-way Evening First Class,Roundtrip Morning First Class,Roundtrip Afternoon First Class,Roundtrip Evening First Class,Average
160,159,159,159,183,190,183,353,353,353,575,575,575,353,353,353,575,575,575,366.7222222
161,159,159,159,183,190,183,353,353,353,575,575,575,353,353,353,575,575,575,366.7222222
162,159,159,159,189,189,182,358,353,353,567,567,567,353,353,353,567,567,567,364.5555556
163,159,159,159,182,189,182,353,353,353,567,567,567,353,353,353,567,567,567,363.8888889
164,159,159,159,317,317,317,353,353,353,705,705,705,353,353,353,705,705,705,432
165,159,159,159,317,317,317,353,353,353,705,705,705,353,353,353,705,705,705,432
166,159,159,159,181,181,181,353,353,353,559,559,559,353,353,353,559,559,559,360.6666667
167,159,159,159,182,182,182,353,353,353,567,567,567,353,353,353,567,567,567,363.5
168,159,159,159,190,210,183,353,353,353,575,585,575,353,353,353,575,585,575,369.3333333
169,159,159,159,209,189,182,353,353,353,577,567,567,353,353,353,577,567,567,366.5
170,159,159,159,249,181,181,353,353,353,632,559,559,353,353,353,632,559,559,372.5555556
171,159,159,159,337,337,337,353,353,353,725,725,725,353,353,353,725,725,725,442
172,159,159,159,317,317,317,353,353,353,672,672,672,353,353,353,672,672,672,421
173,159,159,159,181,181,181,353,353,353,535,535,535,353,353,353,535,535,535,352.6666667
174,159,159,159,182,182,182,353,353,353,535,535,535,353,353,353,535,535,535,352.8333333
175,179,179,179,217,237,217,353,373,353,563,573,563,373,373,373,563,573,563,378
176,159,159,159,209,249,189,320,433,320,523,688,511,320,433,320,523,688,511,373
177,159,159,159,209,181,181,320,320,320,523,511,511,320,320,320,523,511,511,336.5555556
178,159,159,159,314,314,314,320,320,320,672,672,672,320,320,320,672,672,672,409.5
179,159,159,159,317,317,317,320,320,320,672,672,672,320,320,320,672,672,672,410
180,159,159,159,249,181,181,320,320,320,599,635,535,320,320,320,599,535,535,358.1111111
